,gaspricel1,difficulty,gaslimit,rate,confirmtime,transaction_count,size,reward,gasprice
246,1.5,2.71E+15,210000,109.37,7,83,18963,3.06,1.5
247,1.5,2.71E+15,600000,112.64,17,16,8577,3.12,1.5
248,1.5,2.71E+15,40683,113.56,24,44,16559,3.11,20
249,20,2.70E+15,90642,114.15,12,74,31172,3.07,2
250,2,2.70E+15,78428,127.51,46,112,33863,3.15,2
251,2,2.70E+15,21000,95.24,43,43,18707,3.03,1.5
252,1.5,2.70E+15,55000,125,5,44,16000,3.05,1.5
253,1.5,2.70E+15,21000,111.11,20,7,10833,3.04,1.8
254,1.8,2.70E+15,250000,114.7,11,8,9838,3.01,1.5
255,1.5,2.70E+15,21000,111.11,9,131,28683,3.08,1.5
256,1.5,2.70E+15,22000,116.4,3,1,645,3,45
257,45,2.70E+15,21000,119.05,22,79,29857,3.1,2
258,2,2.70E+15,100000,116.06,38,50,24506,3.04,1
259,1,2.70E+15,50000,95.24,37,24,23180,3.09,2
260,2,2.70E+15,250000,115.87,5,26,7657,3.02,1.5
261,1.5,2.70E+15,21000,111.11,6,58,33635,3.09,1.3
262,1.3,2.70E+15,52762,94.77,10,46,15487,3.05,2
263,2,2.70E+15,25200,95.24,5,81,36226,3.11,2
264,2,2.69E+15,21000,111.11,38,97,32229,3.12,2
265,2,2.69E+15,21000,111.11,48,53,25378,3.1,3
266,3,2.69E+15,436738,117.11,116,27,12993,3.01,1.5
267,1.5,2.69E+15,21000,126.98,4,30,30323,3.1,2
268,2,2.68E+15,95101,115.21,10,35,26699,3.2,1.6
269,1.6,2.68E+15,21000,119.05,3,63,27836,3.08,2
270,2,2.68E+15,429886,119.92,133,2,7114,3.02,1.5
271,1.5,2.68E+15,21000,119.05,8,47,19978,3.05,1
272,1,2.68E+15,55000,87.27,12,60,31908,3.05,2
273,2,2.68E+15,200000,118.5,1,51,16476,3.05,1.469
274,1.469,2.68E+15,250000,102.18,6,17,10856,3.02,1.497
