,difficulty,gaslimit,gasused,gaspricel1,gaspricel2
926,1942480000000000.0,8023002,7989988,1.0,1.0
4824,1946210000000000.0,7984452,7976780,12.0,100.0
2470,1979100000000000.0,8003864,7991419,1.0,10.0
15,1904400000000000.0,7992222,4712603,0.1,1.0
143,1901540000000000.0,7984452,7976053,20.0,1.0
7134,1937510000000000.0,7992140,7986454,10.0,140.0
2363,1993700000000000.0,7988374,7957670,10.0,1.0
5123,1929040000000000.0,7999992,7999596,10.0,1.0
6800,1894610000000000.0,8000029,7994839,10.0,1.0
1161,1915970000000000.0,7992222,7977260,10.0,11.90625
8277,1886530000000000.0,7992222,7985483,21.2,10.0
3161,1945190000000000.0,7992952,7978810,10.0,1.0
5382,1922330000000000.0,8000029,7993471,100.0,10.0
3260,1901900000000000.0,7992222,5516930,10.0,1.0
5987,1914560000000000.0,7984452,7965062,0.1,1.0
6502,1922740000000000.0,8003917,7993243,10.0,10.0
1362,1947970000000000.0,7973981,3247931,1.0,0.1
3885,1916520000000000.0,7992222,7977350,1.0,10.0
1212,1923460000000000.0,8003899,7983721,21.0,10.0
1876,1936350000000000.0,7986968,7909692,0.1,1.0
6053,1918270000000000.0,7986154,6887188,10.000001,10.0
7038,1930000000000000.0,8000029,6189268,10.0,10.0
8646,1879000000000000.0,7999992,3056380,10.0,10.0
7405,1974630000000000.0,7999988,7986456,1.0,10.0
4817,1950010000000000.0,8003913,7985036,10.0,20.0
4753,1966330000000000.0,8000000,7999933,20.0,10.0
1170,1913160000000000.0,7984452,7901909,1.0,1.0
579,1904110000000000.0,7986325,7970088,14.25,1.0
2182,1966700000000000.0,7989174,7971124,10.0,10.0
5059,1941350000000000.0,7984470,7963500,1.0,10.0
4113,1925800000000000.0,7999992,7991840,10.0,100.0
4625,1962570000000000.0,7992148,7061894,10.0,10.0
1833,1934490000000000.0,8000029,7978973,1.0,0.1
7617,1977430000000000.0,8000029,7981668,100.0,20.0
3941,1932470000000000.0,7992222,6482617,10.0,1.0
6290,1931330000000000.0,7997065,7977044,10.0,10.0
1859,1941100000000000.0,7992222,3492118,10.0,1.0
3532,1895250000000000.0,8000029,6779177,1.0,10.0
3411,1908330000000000.0,8000000,7992200,10.0,10.0
2685,1992570000000000.0,7999881,7745722,1.0,1.0
4996,1948980000000000.0,8000029,5506176,10.0,1.0
5381,1921390000000000.0,8000029,7999675,10.0,1.0
4756,1966330000000000.0,7992185,5425742,10.0,10.0
387,1909770000000000.0,8000029,5074746,1.0,1.0
7887,1905250000000000.0,7976682,7976594,20.0,20.0
1032,1936730000000000.0,7980567,541864,10.0,10.0
7189,1954590000000000.0,8000029,6883778,10.0,20.0
2488,1990720000000000.0,8000029,728624,1.0,1.0
2286,1992760000000000.0,7999955,6329308,10.0,1.0
2629,2000410000000000.0,8000029,4758691,10.0,1.0
5011,1943270000000000.0,7988337,7983217,20.0,20.0
3337,1887040000000000.0,8000000,7983123,10.0,10.0
3058,1944300000000000.0,8000029,4112404,1.0,100.0
7048,1931880000000000.0,7992185,7423514,10.0,1.0
931,1944380000000000.0,8011281,8004076,1.0,0.1
3662,1888730000000000.0,8000029,7984299,1.0,10.0
691,1923700000000000.0,8000029,3031396,10.0,20.0
6425,1918090000000000.0,8003933,7993790,10.0,10.0
1891,1939180000000000.0,7992222,4717476,10.0,1.0
2268,1993740000000000.0,7989040,7971350,1.0,1.0
5226,1914910000000000.0,7992248,7979458,1.0,1.0
7441,1983310000000000.0,8000112,7986344,10.0,10.0
4342,1952180000000000.0,7992185,7983590,1.0,10.0
7568,1986170000000000.0,7992222,7352200,1.0,10.0
5816,1907180000000000.0,7992222,7975499,10.0,10.0
8045,1879290000000000.0,8000029,7997789,10.0,15.0
44,1902530000000000.0,8000029,7987898,1.0,10.0
4122,1931450000000000.0,8000029,7995570,1.0,1.0
3012,1948130000000000.0,8003901,7981203,1.0,10.0
8757,1881690000000000.0,8000029,2693272,1.0,1.0
223,1901490000000000.0,7994580,7974203,1.0,10.0
7982,1885760000000000.0,8003913,7984320,100.0,10.0
1187,1920650000000000.0,7976682,7091703,10.0,10.0
5924,1914590000000000.0,8007763,6656129,21.0,0.1
837,1947270000000000.0,8007394,7993827,1.0,1.0
7859,1914590000000000.0,8003914,8002998,100.0,1.0
1683,1944030000000000.0,7982380,2001015,10.0,147.0
7116,1928080000000000.0,7984470,7968553,0.1,20.0
3059,1943350000000000.0,7992222,7949790,10.0,1.0
7558,1986170000000000.0,7984452,7966529,10.0,10.0
6755,1890940000000000.0,8003917,7994654,1.0,50.0
63,1900660000000000.0,8000029,7985459,10.0,10.0
3092,1958580000000000.0,7984452,7962697,10.0,10.0
617,1911550000000000.0,7992222,1805151,21.0,1.0
8813,1889940000000000.0,8000029,4324421,1.0,10.0
6193,1939890000000000.0,7999992,3446153,10.0,10.0
227,1902420000000000.0,8000029,5240653,1.0,10.0
8151,1885670000000000.0,8000029,7992110,20.0,100.0
6734,1903930000000000.0,8000057,7996981,104.0,20.0
7818,1920230000000000.0,7992222,7987186,10.0,20.0
3396,1900890000000000.0,7984452,7979525,100.0,10.0
3944,1932470000000000.0,8000029,7989514,10.0,10.0
969,1952930000000000.0,7992222,7978843,21.0,21.0
1805,1950630000000000.0,8000029,3857464,1.0,1.0
2447,1987830000000000.0,8000029,7981756,1.0,1.0
4001,1924910000000000.0,8000029,6308157,10.0,10.0
3150,1944240000000000.0,7979013,1198538,100.0,10.0
5062,1937560000000000.0,8000029,7990635,100.0,100.0
6778,1902040000000000.0,8000029,6747726,1.0,1.0
4414,1938850000000000.0,8000029,7989778,100.0,10.0
2851,1956790000000000.0,8003926,7990634,1.0,1.0
8327,1878230000000000.0,7992222,7985409,1.0,10.0
6785,1893690000000000.0,7992222,7988333,20.0,100.0
1860,1936360000000000.0,7999992,7986813,10.0,10.0
8179,1896750000000000.0,8000029,7986959,10.0,1.0
3833,1902550000000000.0,7997846,7987517,1.0,1.0
6218,1930420000000000.0,7984452,7977577,100.0,1.0
7337,1951640000000000.0,7996107,7917044,1.0,10.0
7238,1955510000000000.0,7999992,7980324,104.0,1.0
252,1913590000000000.0,7984526,7539912,0.1,1.0
4710,1967320000000000.0,7999992,7980379,100.0,1.0
7485,1995920000000000.0,8000029,1456667,10.0,10.0
1789,1945880000000000.0,8000029,5013000,1.0,1.0
6564,1921770000000000.0,7999992,7948573,10.0,10.0
2059,1960050000000000.0,8000029,5950117,20.0,10.0
6494,1924630000000000.0,7999955,7991826,10.0,1.0
3047,1952870000000000.0,7984452,7956606,1.0,20.0
8421,1878180000000000.0,7980581,7967228,1.0,1.0
5689,1922200000000000.0,8000029,5234278,1.0,10.0
1902,1931610000000000.0,8000029,5939616,10.0,1.0
2750,1971240000000000.0,7984415,7966768,10.0,1.0
2119,1965780000000000.0,8011745,7985404,1.0,1.0
7036,1927180000000000.0,7992222,7976987,1.0,10.0
4374,1938860000000000.0,8000029,7996444,1.0,0.0001
3755,1883160000000000.0,8000029,3391251,1.0,1.0
2689,1993550000000000.0,8000003,7970905,1.0,1.0
6626,1931150000000000.0,7997554,7988418,10.0,10.0
4165,1938030000000000.0,8000029,7790000,1.0,1.0
7469,1984270000000000.0,8003869,7988255,10.0,100.0
6279,1925680000000000.0,7992222,7948392,10.0,1.0
75,1899730000000000.0,7996137,4208876,1.0,10.0
2345,1998580000000000.0,7999992,7996371,10.0,10.0
2351,1994680000000000.0,8000029,3337206,1.0,10.0
4304,1940790000000000.0,7992222,7988616,10.0,1.0
430,1904170000000000.0,7992222,4668491,10.0,1.0
6410,1913410000000000.0,8000029,7983379,1.0,1.0
7657,1951500000000000.0,7992185,7980801,10.0,145.0
3649,1888730000000000.0,7984378,7962578,10.0,10.0
5288,1909270000000000.0,8000820,7986688,10.0,10.0
8342,1881900000000000.0,8000029,5740737,10.0,20.0
3799,1890520000000000.0,7999992,7980139,1.0,10.0
3309,1892600000000000.0,7992222,7976077,100.0,10.0
